Site_ID,OBJECTID_1,OBJECTID,Number_,Descriptio,Latitude,Longitude,geometry,r
105,1,1,2.0,Mary's Creek @ Winding Road,29.543475,-95.217353,POINT (-95.21735299999983 29.54347500000006),0.07186279969171
110,2,2,3.0,Clear Creek @ I-45,29.50796,-95.11741,POINT (-95.11740999999989 29.50796000000003),-0.00498026025538675
115,3,3,4.0,Cowart Creek @ Baker Road,29.513234,-95.222531,POINT (-95.22253099999989 29.51323400000012),0.11638771718185577
125,4,4,6.0,Chigger Creek @ Windsong Lane,29.495189,-95.223522,POINT (-95.22352199999989 29.4951890000001),0.1313902528823375
130,5,5,7.0,Clear Creek @ Bay Area Boulevard,29.497498,-95.159806,POINT (-95.15980599999989 29.49749800000018),-0.002977412562607255
135,6,6,8.0,Clear Creek @ FM 2351,29.542461,-95.196775,POINT (-95.19677499999995 29.542461),0.0
140,7,7,9.0,Turkey Creek @ FM 1959,29.583903,-95.187552,POINT (-95.18755199999993 29.58390300000002),-0.0024422155907999742
150,8,8,10.0,Clear Creek @ Country Club Drive,29.556148,-95.252032,POINT (-95.25203199999999 29.55614800000006),0.10478563704999735
160,9,9,11.0,Beamer Ditch @ Hughes Road,29.591725,-95.222089,POINT (-95.22208899999998 29.59172500000011),0.008053956743032536
170,10,10,12.0,Clear Creek @ Nassau Bay,29.534116,-95.091224,POINT (-95.09122399999995 29.53411600000004),-0.018466304568508396
190,11,11,14.0,Clear Creek @ SH 288,29.585932,-95.385979,POINT (-95.38597899999996 29.58593200000007),0.26172977975966044
200,12,12,15.0,Taylor Lake @ Nasa Road 1,29.565371,-95.053834,POINT (-95.05383399999994 29.56537100000003),0.11497435705233573
210,13,13,16.0,Armand Bayou @ Pasadena Lake (Nasa Road 1),29.564191,-95.070795,POINT (-95.07079499999998 29.56419100000011),0.0971096870158194
220,14,14,17.0,Armand Bayou @ Genoa-Red Bluff Road,29.633755,-95.114485,POINT (-95.11448499999989 29.63375500000012),0.07422527541360255
230,15,15,18.0,Big Island Slough @ Fairmont Parkway,29.651497,-95.076001,POINT (-95.07600099999985 29.65149700000012),0.10942424209871775
240,16,16,19.0,Little Vince Bayou @ Burke Road,29.683502,-95.183473,POINT (-95.18347299999994 29.68350200000003),0.04139782502771304
250,17,17,20.0,Horsepen Creek @ Bay Area Boulevard,29.583671,-95.103438,POINT (-95.10343799999998 29.58367100000004),0.02081230050477012
270,18,18,21.0,Willow Spring Bayou @ Fairmont Parkway,29.650747,-95.110027,POINT (-95.11002699999989 29.65074700000008),0.10115616815424026
320,19,19,23.0,Berry Bayou @ Forest Oaks Boulevard,29.676469,-95.243682,POINT (-95.24368199999986 29.67646900000005),-0.035649898075459145
360,20,20,25.0,Sims Bayou @ Martin Luther King Road,29.644783,-95.336798,POINT (-95.33679799999999 29.64478300000007),0.14815897867009856
370,21,21,26.0,Sims Bayou @ SH 288,29.632178,-95.386657,POINT (-95.38665699999984 29.63217800000018),0.27192720134572324
400,22,22,28.0,Harris Gully @ South McGregor Way,29.707682,-95.392158,POINT (-95.39215799999988 29.70768200000015),0.24225785342417486
410,23,23,29.0,Brays Bayou @ Lawndale Street,29.722625,-95.305332,POINT (-95.30533199999991 29.72262500000005),-0.011006054485385199
430,24,24,31.0,Brays Bayou @ Stella Link Road,29.690953,-95.439914,POINT (-95.43991399999999 29.69095300000015),0.32324954235620645
435,25,25,32.0,Willow Water Hole @ Willowbend Boulevard,29.664477,-95.460008,POINT (-95.4600079999999 29.66447700000009),0.3499007996773977
440,26,26,33.0,Brays Bayou @ Rice Avenue,29.678605,-95.467271,POINT (-95.46727099999993 29.67860500000006),0.04755720202827108
445,27,27,34.0,Willow Water Hole @ Landsdowne Drive,29.65023,-95.4867,POINT (-95.48669999999998 29.65023000000008),0.4397966940164727
465,28,28,36.0,Brays Bayou @ Beltway 8,29.695066,-95.556599,POINT (-95.55659899999989 29.69506600000011),0.04072623662155156
475,29,29,38.0,Brays Bayou @ Bellaire Boulevard,29.70391,-95.566081,POINT (-95.56608099999988 29.70391000000018),0.04087912240045262
485,30,30,40.0,Brays Bayou @ SH 6,29.715071,-95.643933,POINT (-95.64393299999989 29.71507100000008),0.038010307844238714
490,31,31,41.0,Keegans Bayou @ Keegan Road,29.665721,-95.594968,POINT (-95.59496799999994 29.66572100000019),0.01809711170180333
495,32,32,42.0,Keegans Bayou @ Rocky Valley,29.678422,-95.649195,POINT (-95.64919499999996 29.67842200000018),0.003984328509005009
510,33,33,43.0,Harris County Flood Control @ Brookhollow,29.806225,-95.452383,POINT (-95.45238299999988 29.80622500000015),0.186612851173626
530,34,34,45.0,White Oak Bayou @ Ella Boulevard,29.803438,-95.429368,POINT (-95.42936799999995 29.80343800000014),0.027306138584928724
535,35,35,46.0,White Oak Bayou @ Pinemont Drive,29.840915,-95.458339,POINT (-95.45833899999985 29.840915),0.18342272039270235
545,36,36,48.0,White Oak Bayou @ Fairbanks North Houston Road,29.877297,-95.524522,POINT (-95.52452199999999 29.87729700000006),0.22231419292943136
550,37,37,49.0,White Oak Bayou @ Lakeview Drive,29.887358,-95.556185,POINT (-95.55618499999991 29.88735800000012),0.2258081068274438
555,38,38,50.0,White Oak Bayou @ Jones Road,29.917687,-95.584556,POINT (-95.58455599999996 29.91768700000006),0.18314154330575688
570,39,39,52.0,Little White Oak Bayou @ Tidwell Road,29.845139,-95.399729,POINT (-95.39972899999998 29.84513900000007),0.18669067369733375
575,40,40,53.0,White Oak Bayou @ Tidwell Road,29.846237,-95.460193,POINT (-95.46019299999995 29.84623699999997),0.18961906653467925
585,41,41,55.0,Vogel Creek @ Victory Drive,29.868133,-95.4692,POINT (-95.46919999999994 29.86813300000017),0.18978613514574486
595,42,42,57.0,Vogel Creek @ Gulf Bank Road,29.883128,-95.467416,POINT (-95.46741599999984 29.88312800000006),0.2020985350280705
610,43,43,58.0,Taylor's Bayou @ Shoreacres Boulevard,29.619923,-95.021669,POINT (-95.02166899999997 29.61992300000014),0.206927850603699
620,44,44,59.0,Little Cedar Bayou @ 8th Street,29.650057,-95.027295,POINT (-95.02729499999998 29.65005700000017),0.1708654081825563
640,45,45,60.0,Lateral @ Sens Road,29.6832709,-95.0467935,POINT (-95.04679349999992 29.68327090000008),0.21057444869178144
710,46,46,61.0,San Jacinto River @ Rio Villa,29.829041,-95.077694,POINT (-95.07769399999995 29.82904100000007),0.05205730879078672
755,47,47,64.0,San Jacinto River @ Kingwood Country Club,30.028132,-95.19654,POINT (-95.19653999999991 30.02813200000003),0.0
820,48,48,67.0,Hunting Bayou @ I-10,29.771615,-95.227954,POINT (-95.22795399999995 29.77161500000017),-0.04356939113139985
940,49,49,71.0,Little Vince Bayou @ Jackson Avenue,29.705491,-95.200141,POINT (-95.20014099999997 29.70549100000005),-0.0005925599924989228
1000,50,50,72.0,Houston Transtar,29.782684,-95.439563,POINT (-95.43956299999991 29.78268400000013),0.037227118894372045
1020,51,51,73.0,NRG Park,29.68798,-95.412726,POINT (-95.41272599999996 29.68798000000015),0.2843381493500697
1040,52,52,74.0,Spring Creek @ FM 2978,30.134077,-95.596571,POINT (-95.59657099999998 30.13407699999999),0.13545574679100814
1060,53,53,76.0,Spring Creek @ Kuykendahl Road,30.170279,-95.541396,POINT (-95.54139599999991 30.17027900000011),-0.023703000563184716
1074,54,54,78.0,Walnut Creek @ Joseph Road,30.178866,-95.809912,POINT (-95.80991199999994 30.17886600000003),0.19330741336051493
1076,55,55,79.0,Birch Creek @ Riley Road,30.237906,-95.839529,POINT (-95.83952899999997 30.23790600000007),0.24069830918874932
1084,56,56,80.0,Three Mile Creek @ Joseph Road,30.152994,-95.863216,POINT (-95.86321599999991 30.15299400000009),0.2489817089243148
1086,57,57,81.0,Three Mile Creek @ FM 362,30.193345,-95.933637,POINT (-95.93363699999986 30.19334500000008),0.36732963027833876
1090,58,58,82.0,Spring Creek @ Hegar Road,30.085697,-95.841879,POINT (-95.84187899999984 30.08569700000004),0.24924775907586497
1110,59,59,83.0,Cypress Creek @ Cypresswood Drive,30.031016,-95.330033,POINT (-95.33003299999996 30.03101600000014),0.19624921670788048
1115,60,60,84.0,Cypress Creek @ Inverness Forest,30.034738,-95.409868,POINT (-95.4098679999999 30.03473800000006),0.2408771109789113
1130,61,61,86.0,Cypress Creek @ Kuykendahl Road,30.023755,-95.475879,POINT (-95.47587899999991 30.02375500000011),0.24592285356866941
1150,62,62,88.0,Cypress Creek @ SH 249,29.985654,-95.569924,POINT (-95.5699239999999 29.98565400000012),0.17212400054202304
1165,63,63,90.0,Cypress Creek @ Eldridge Parkway N.,29.966174,-95.607602,POINT (-95.60760199999999 29.96617400000002),0.23934729874006008
1170,64,64,91.0,Cypress Creek @ Huffmeister Road,29.961554,-95.631215,POINT (-95.63121499999983 29.96155400000004),0.18697733396190613
1175,65,65,92.0,Cypress Creek @ US 290,29.95686,-95.6782,POINT (-95.67819999999989 29.95686000000012),0.0
1186,66,66,95.0,Live Oak @ Penick Road,29.948015,-95.924128,POINT (-95.92412799999994 29.94801500000017),0.9030903416092275
1190,67,67,96.0,Little Mound Creek @ Mathis Road,30.005339,-95.907953,POINT (-95.90795299999991 30.00533900000011),0.7745431824205835
1195,68,68,97.0,Mound Creek @ FM 362,30.043079,-95.936264,POINT (-95.93626399999988 30.04307900000009),0.637330473244904
1210,69,69,98.0,Little Cypress Creek @ Kluge Road,29.977553,-95.630248,POINT (-95.63024799999994 29.97755300000006),0.19931417673258062
1230,70,70,100.0,Little Cypress Creek @ Becker Road,30.027473,-95.799237,POINT (-95.79923699999989 30.02747300000004),0.21265931157524454
1340,71,71,102.0,Willow Creek @ SH 249,30.063023,-95.620855,POINT (-95.62085499999989 30.06302299999999),0.2105639066132211
1420,72,72,103.0,Carpenters Bayou @ I-10,29.771535,-95.149022,POINT (-95.14902199999989 29.77153500000014),0.14709212861599985
1440,73,73,104.0,Carpenters Bayou @ Wallisville Road,29.809924,-95.158445,POINT (-95.15844499999997 29.80992400000014),0.17655194248121067
1460,74,74,105.0,Carpenters Bayou @ US 90,29.838598,-95.160484,POINT (-95.16048399999994 29.83859800000016),0.16810361211001537
1520,75,75,106.0,Goose Creek @ SH 146,29.713447,-94.990514,POINT (-94.99051399999996 29.71344700000003),0.17228795496292587
1600,76,76,108.0,Greens Bayou @ Mount Houston Parkway,29.891907,-95.237623,POINT (-95.23762299999999 29.89190700000006),0.1443134399449115
1610,77,77,109.0,Greens Bayou @ Normandy Street,29.776023,-95.206451,POINT (-95.2064509999999 29.77602300000007),0.006844527525882972
1645,78,78,113.0,Greens Bayou @ Beltway 8,29.938692,-95.34932,POINT (-95.34931999999992 29.93869200000006),0.13720403908952092
1650,79,79,114.0,Garners Bayou @ Rankin Road,29.965025,-95.271954,POINT (-95.27195399999988 29.96502500000014),0.16031526919777397
1665,80,80,116.0,Greens Bayou @ Bammel N Houston Road,29.948488,-95.498006,POINT (-95.49800599999992 29.94848800000005),0.2359954516330429
1675,81,81,118.0,Halls Bayou @ Tidwell Road,29.849306,-95.282843,POINT (-95.2828429999999 29.84930600000007),0.149862860140291
1685,82,82,120.0,Greens Bayou @ Tidwell Road,29.849798,-95.229007,POINT (-95.22900699999997 29.84979800000013),0.0
1690,83,83,121.0,Halls Bayou @ Airline Drive,29.892682,-95.396717,POINT (-95.39671699999997 29.89268200000009),0.21704782303423006
1695,84,84,122.0,P138 @ Aldine Westfield Road,29.917302,-95.355514,POINT (-95.35551399999991 29.91730200000001),0.14561994959224275
1720,85,85,123.0,Cedar Bayou @ SH 146,29.769851,-94.916822,POINT (-94.91682199999991 29.76985100000007),0.3017516946015953
1725,86,86,124.0,Smith Gully @ SH146,29.826742,-94.897975,POINT (-94.89797499999997 29.82674200000008),0.292788663605945
1730,87,87,125.0,Cedar Bayou @ FM1942,29.849395,-94.947525,POINT (-94.94752499999993 29.84939500000019),0.2479389922656565
1840,88,88,127.0,Gum Gully @ Diamond Head Boulevard,29.910874,-95.09085,POINT (-95.09084999999993 29.91087400000004),0.1222051794303284
1940,89,89,128.0,Luce Bayou @ FM,30.066797,-95.098243,POINT (-95.09824299999985 30.06679700000018),0.09778728625038696
2020,90,90,130.0,Mason Creek @ Prince Creek Drive,29.76716,-95.728164,POINT (-95.72816399999994 29.76716000000016),0.68442385418599
2040,91,91,133.0,Buffalo Bayou @ US 90,29.785685,-95.827024,POINT (-95.82702399999994 29.78568500000011),0.8836089303550387
2050,92,92,134.0,Cane Island Parkway @ Clay Road,29.831083,-95.836824,POINT (-95.83682399999998 29.83108300000009),0.8227172867461775
2060,93,93,135.0,Willow Creek @ Pederson,29.770608,-95.880975,POINT (-95.88097499999998 29.77060799999998),0.0
2090,94,94,136.0,Brookshire Drainage @ Morrison,29.888456,-95.940939,POINT (-95.94093899999996 29.88845600000019),0.7433581310345302
2130,95,95,139.0,Horsepen Creek @ Trailside Drive,29.883876,-95.634673,POINT (-95.63467299999996 29.88387600000016),0.1631370146910192
2140,96,96,140.0,Langham Creek @ Longenbaugh Road,29.895138,-95.696832,POINT (-95.69683199999992 29.89513800000009),0.25773915072665116
2150,97,97,141.0,South Mayde @ Greenhouse Road,29.802411,-95.703888,POINT (-95.70388799999995 29.80241100000006),0.4514343565431738
2170,98,98,143.0,South Mayde Creek @ Morton Road,29.816945,-95.74048,POINT (-95.74047999999993 29.81694500000003),0.5987404779093564
2180,99,99,144.0,Bear Creek @ FM 529,29.875125,-95.769477,POINT (-95.76947699999994 29.87512500000014),0.5676057031393298
2190,100,100,145.0,South Mayde Creek @ Peek Road,29.851108,-95.773611,POINT (-95.77361099999996 29.85110800000012),0.6329047535298841
2250,101,101,149.0,Spring Branch @ Bingle Road,29.796238,-95.500348,POINT (-95.50034799999997 29.79623800000019),0.036226369107257204
2255,102,102,150.0,Briar Branch @ Campbell Road,29.78962,-95.5139,POINT (-95.51389999999986 29.78962000000007),0.029568034124634525
2260,103,103,151.0,Buffalo Bayou @ San Felipe Drive,29.751207,-95.505614,POINT (-95.50561399999987 29.75120700000002),0.03868628373154913
2280,104,104,153.0,Rummel Creek @ Brittmoore Road,29.778606,-95.570092,POINT (-95.57009199999993 29.77860600000008),0.20803981072200017
